Date,Close,High,Low,Volume
2025-05-27,9.35,9.5,9.33,700.0
2025-05-28,9.3,9.3,9.3,200.0
2025-06-02,9.4,9.4,9.24,1700.0
2025-06-03,9.58,9.58,9.4,900.0
2025-06-04,9.4,9.4,9.4,1000.0
2025-06-05,9.41,9.41,9.23,600.0
2025-06-08,9.41,9.41,9.41,0.0
2025-06-09,9.42,9.42,9.41,3600.0
2025-06-10,9.6,9.6,9.6,3225.0
2025-06-11,9.47,9.47,9.45,2300.0
2025-06-12,9.43,9.43,9.43,1100.0
2025-06-15,9.61,9.61,9.43,1100.0
2025-06-16,9.55,9.6,9.52,19530.0
2025-06-17,9.55,9.55,9.42,300.0
2025-06-18,9.55,9.55,9.41,3400.0
2025-06-19,9.39,9.74,9.38,3400.0
2025-06-22,9.55,9.57,9.37,4800.0
2025-06-23,9.43,9.43,9.43,700.0
2025-06-24,9.59,9.59,9.41,550.0
2025-06-25,9.46,9.47,9.46,2100.0
2025-06-26,9.45,9.45,9.31,200.0
2025-06-29,9.8,9.82,9.33,26200.0
2025-06-30,9.52,9.61,9.52,4100.0
2025-07-01,9.76,9.94,9.56,18100.0
2025-07-02,9.69,9.8,9.69,6200.0
2025-07-03,10.07,10.15,9.6,16279.0
2025-07-06,9.87,9.87,9.87,2100.0
2025-07-07,9.68,9.87,9.68,12900.0
2025-07-08,9.65,9.65,9.52,500.0
2025-07-09,9.7,9.7,9.7,100.0
2025-07-10,9.91,10.1,9.72,11390.0
2025-07-13,10.1,10.1,9.75,12521.0
2025-07-14,10.25,10.28,10.0,14900.0
2025-07-15,10.45,10.45,10.45,100.0
2025-07-16,10.68,10.86,10.3,271252.0
2025-07-17,10.47,10.47,10.47,5000.0
2025-07-20,10.03,10.27,10.02,48350.0
2025-07-21,9.88,10.0,9.85,4000.0
2025-07-22,9.85,9.88,9.82,2600.0
2025-07-23,9.81,9.81,9.68,1300.0
2025-07-24,9.87,9.9,9.8,10900.0
2025-07-27,9.68,9.88,9.6,18400.0
2025-07-28,9.56,9.56,9.54,2900.0
2025-07-29,9.75,9.88,9.56,16315.0
2025-07-30,9.93,9.93,9.66,2100.0
2025-07-31,10.1,10.1,9.75,5870.0
2025-08-03,9.99,10.06,9.7,66623.0
2025-08-04,10.08,10.08,9.9,29900.0
2025-08-05,10.13,10.13,9.94,7025.0
2025-08-06,10.1,10.12,9.95,2000.0
2025-08-07,10.1,10.1,10.1,2275.0
2025-08-11,9.91,10.09,9.9,9800.0
2025-08-12,9.9,9.98,9.79,3000.0
2025-08-13,9.9,9.9,9.9,0.0
2025-08-14,9.85,9.9,9.83,2500.0
2025-08-17,9.84,9.84,9.84,600.0
2025-08-18,10.04,10.12,10.0,18600.0
2025-08-19,10.04,10.24,9.92,9935.0
2025-08-20,10.16,10.25,10.11,167455.0
2025-08-21,10.04,10.2,10.0,22550.0
2025-08-24,10.26,10.44,9.89,39000.0
2025-08-25,10.23,10.39,10.07,27150.0
2025-08-26,10.27,10.35,10.15,18200.0
